manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
BMW,"i3s,i3",BSI,2018,E,Baden-Württemberg,428
CITROEN (F),"C-ZERO,C-Zero",AJT,2018,E,Baden-Württemberg,30
DAIMLER (D),forfour ed,GON,2018,E,Baden-Württemberg,282
DAIMLER (D),fortwo cabrio ed,GOP,2018,E,Baden-Württemberg,139
DAIMLER (D),fortwo coupe ed,HHE,2018,E,Baden-Württemberg,337
DAIMLER (D),B 250 e,EWE,2018,E,Baden-Württemberg,3
DAIMLER (D),EQ forfour,HSE,2018,E,Baden-Württemberg,395
DAIMLER (D),EQ fortwo cabrio,HSG,2018,E,Baden-Württemberg,138
DAIMLER (D),EQ fortwo coupe,HSF,2018,E,Baden-Württemberg,328
FORD (D),Focus Electric,BFW,2018,E,Baden-Württemberg,1
HYUNDAI MOTOR (ROK),IONIQ,AHL,2018,E,Baden-Württemberg,225
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2018,E,Baden-Württemberg,38
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2018,E,Baden-Württemberg,16
KIA MOTOR (ROK),NIRO,AIB,2018,E,Baden-Württemberg,0
KIA MOTOR (ROK),SOUL,AGJ,2018,E,Baden-Württemberg,77
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2018,E,Baden-Württemberg,1
NISSAN (CH),Nissan Leaf 40kWh,ALE,2018,E,Baden-Württemberg,305
NISSAN (CH),NISSAN e-NV200,AIA,2018,E,Baden-Württemberg,17
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2018,E,Baden-Württemberg,1
OPEL,Ampera-e,AGT,2018,E,Baden-Württemberg,35
OPEL,Ampera-e,BLA,2018,E,Baden-Württemberg,6
PEUGEOT (F),iOn,AOG,2018,E,Baden-Württemberg,32
RENAULT (F),ZOE,AZX,2018,E,Baden-Württemberg,1033
RENAULT (F),ZOE,BIA,2018,E,Baden-Württemberg,276
TESLA (USA),Model S,AAJ,2018,E,Baden-Württemberg,5
TESLA (USA),Model S,AAK,2018,E,Baden-Württemberg,120
TESLA (USA),Model S,AAL,2018,E,Baden-Württemberg,9
TESLA (USA),Model X,AAM,2018,E,Baden-Württemberg,1
TESLA (USA),Model X,AAO,2018,E,Baden-Württemberg,71
TESLA (USA),Model X,AAP,2018,E,Baden-Württemberg,3
VOLKSWAGEN (D),GOLF,BMS,2018,E,Baden-Württemberg,1
VOLKSWAGEN (D),GOLF,CBP,2018,E,Baden-Württemberg,736
VOLKSWAGEN (D),UP!,BKY,2018,E,Baden-Württemberg,176
BMW,"i3s,i3",BSI,2018,E,Bayern,1827
CITROEN (F),"C-ZERO,C-Zero",AJT,2018,E,Bayern,10
DAIMLER (D),forfour ed,GON,2018,E,Bayern,205
DAIMLER (D),fortwo cabrio ed,GOP,2018,E,Bayern,101
DAIMLER (D),fortwo coupe ed,HHE,2018,E,Bayern,196
DAIMLER (D),B 250 e,EWE,2018,E,Bayern,0
DAIMLER (D),EQ forfour,HSE,2018,E,Bayern,235
DAIMLER (D),EQ fortwo cabrio,HSG,2018,E,Bayern,79
DAIMLER (D),EQ fortwo coupe,HSF,2018,E,Bayern,167
FORD (D),Focus Electric,BFW,2018,E,Bayern,1
HYUNDAI MOTOR (ROK),IONIQ,AHL,2018,E,Bayern,371
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2018,E,Bayern,99
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2018,E,Bayern,55
KIA MOTOR (ROK),NIRO,AIB,2018,E,Bayern,0
KIA MOTOR (ROK),SOUL,AGJ,2018,E,Bayern,81
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2018,E,Bayern,9
NISSAN (CH),Nissan Leaf 40kWh,ALE,2018,E,Bayern,548
NISSAN (CH),NISSAN e-NV200,AIA,2018,E,Bayern,32
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2018,E,Bayern,0
OPEL,Ampera-e,AGT,2018,E,Bayern,37
OPEL,Ampera-e,BLA,2018,E,Bayern,2
PEUGEOT (F),iOn,AOG,2018,E,Bayern,43
RENAULT (F),ZOE,AZX,2018,E,Bayern,1085
RENAULT (F),ZOE,BIA,2018,E,Bayern,302
TESLA (USA),Model S,AAJ,2018,E,Bayern,13
TESLA (USA),Model S,AAK,2018,E,Bayern,391
TESLA (USA),Model S,AAL,2018,E,Bayern,73
TESLA (USA),Model X,AAM,2018,E,Bayern,1
TESLA (USA),Model X,AAO,2018,E,Bayern,191
TESLA (USA),Model X,AAP,2018,E,Bayern,55
VOLKSWAGEN (D),GOLF,BMS,2018,E,Bayern,0
VOLKSWAGEN (D),GOLF,CBP,2018,E,Bayern,1008
VOLKSWAGEN (D),UP!,BKY,2018,E,Bayern,121
BMW,"i3s,i3",BSI,2018,E,Berlin,126
CITROEN (F),"C-ZERO,C-Zero",AJT,2018,E,Berlin,0
DAIMLER (D),forfour ed,GON,2018,E,Berlin,16
DAIMLER (D),fortwo cabrio ed,GOP,2018,E,Berlin,34
DAIMLER (D),fortwo coupe ed,HHE,2018,E,Berlin,61
DAIMLER (D),B 250 e,EWE,2018,E,Berlin,65
DAIMLER (D),EQ forfour,HSE,2018,E,Berlin,50
DAIMLER (D),EQ fortwo cabrio,HSG,2018,E,Berlin,31
DAIMLER (D),EQ fortwo coupe,HSF,2018,E,Berlin,252
FORD (D),Focus Electric,BFW,2018,E,Berlin,0
HYUNDAI MOTOR (ROK),IONIQ,AHL,2018,E,Berlin,33
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2018,E,Berlin,8
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2018,E,Berlin,12
KIA MOTOR (ROK),NIRO,AIB,2018,E,Berlin,0
KIA MOTOR (ROK),SOUL,AGJ,2018,E,Berlin,103
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2018,E,Berlin,0
NISSAN (CH),Nissan Leaf 40kWh,ALE,2018,E,Berlin,58
NISSAN (CH),NISSAN e-NV200,AIA,2018,E,Berlin,16
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2018,E,Berlin,7
OPEL,Ampera-e,AGT,2018,E,Berlin,4
OPEL,Ampera-e,BLA,2018,E,Berlin,0
PEUGEOT (F),iOn,AOG,2018,E,Berlin,4
RENAULT (F),ZOE,AZX,2018,E,Berlin,60
RENAULT (F),ZOE,BIA,2018,E,Berlin,29
TESLA (USA),Model S,AAJ,2018,E,Berlin,1
TESLA (USA),Model S,AAK,2018,E,Berlin,31
TESLA (USA),Model S,AAL,2018,E,Berlin,4
TESLA (USA),Model X,AAM,2018,E,Berlin,1
TESLA (USA),Model X,AAO,2018,E,Berlin,25
TESLA (USA),Model X,AAP,2018,E,Berlin,2
VOLKSWAGEN (D),GOLF,BMS,2018,E,Berlin,0
VOLKSWAGEN (D),GOLF,CBP,2018,E,Berlin,119
VOLKSWAGEN (D),UP!,BKY,2018,E,Berlin,22
BMW,"i3s,i3",BSI,2018,E,Brandenburg,49
CITROEN (F),"C-ZERO,C-Zero",AJT,2018,E,Brandenburg,2
DAIMLER (D),forfour ed,GON,2018,E,Brandenburg,14
DAIMLER (D),fortwo cabrio ed,GOP,2018,E,Brandenburg,7
DAIMLER (D),fortwo coupe ed,HHE,2018,E,Brandenburg,32
DAIMLER (D),B 250 e,EWE,2018,E,Brandenburg,0
DAIMLER (D),EQ forfour,HSE,2018,E,Brandenburg,24
DAIMLER (D),EQ fortwo cabrio,HSG,2018,E,Brandenburg,1
DAIMLER (D),EQ fortwo coupe,HSF,2018,E,Brandenburg,21
FORD (D),Focus Electric,BFW,2018,E,Brandenburg,0
HYUNDAI MOTOR (ROK),IONIQ,AHL,2018,E,Brandenburg,43
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2018,E,Brandenburg,13
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2018,E,Brandenburg,1
KIA MOTOR (ROK),NIRO,AIB,2018,E,Brandenburg,0
KIA MOTOR (ROK),SOUL,AGJ,2018,E,Brandenburg,4
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2018,E,Brandenburg,0
NISSAN (CH),Nissan Leaf 40kWh,ALE,2018,E,Brandenburg,51
NISSAN (CH),NISSAN e-NV200,AIA,2018,E,Brandenburg,3
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2018,E,Brandenburg,0
OPEL,Ampera-e,AGT,2018,E,Brandenburg,9
OPEL,Ampera-e,BLA,2018,E,Brandenburg,0
PEUGEOT (F),iOn,AOG,2018,E,Brandenburg,2
RENAULT (F),ZOE,AZX,2018,E,Brandenburg,105
RENAULT (F),ZOE,BIA,2018,E,Brandenburg,160
TESLA (USA),Model S,AAJ,2018,E,Brandenburg,2
TESLA (USA),Model S,AAK,2018,E,Brandenburg,31
TESLA (USA),Model S,AAL,2018,E,Brandenburg,1
TESLA (USA),Model X,AAM,2018,E,Brandenburg,0
TESLA (USA),Model X,AAO,2018,E,Brandenburg,17
TESLA (USA),Model X,AAP,2018,E,Brandenburg,1
VOLKSWAGEN (D),GOLF,BMS,2018,E,Brandenburg,0
VOLKSWAGEN (D),GOLF,CBP,2018,E,Brandenburg,86
VOLKSWAGEN (D),UP!,BKY,2018,E,Brandenburg,15
BMW,"i3s,i3",BSI,2018,E,Bremen,7
CITROEN (F),"C-ZERO,C-Zero",AJT,2018,E,Bremen,0
DAIMLER (D),forfour ed,GON,2018,E,Bremen,4
DAIMLER (D),fortwo cabrio ed,GOP,2018,E,Bremen,2
DAIMLER (D),fortwo coupe ed,HHE,2018,E,Bremen,4
DAIMLER (D),B 250 e,EWE,2018,E,Bremen,0
DAIMLER (D),EQ forfour,HSE,2018,E,Bremen,6
DAIMLER (D),EQ fortwo cabrio,HSG,2018,E,Bremen,2
DAIMLER (D),EQ fortwo coupe,HSF,2018,E,Bremen,8
FORD (D),Focus Electric,BFW,2018,E,Bremen,0
HYUNDAI MOTOR (ROK),IONIQ,AHL,2018,E,Bremen,9
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2018,E,Bremen,2
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2018,E,Bremen,2
KIA MOTOR (ROK),NIRO,AIB,2018,E,Bremen,0
KIA MOTOR (ROK),SOUL,AGJ,2018,E,Bremen,7
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2018,E,Bremen,0
NISSAN (CH),Nissan Leaf 40kWh,ALE,2018,E,Bremen,9
NISSAN (CH),NISSAN e-NV200,AIA,2018,E,Bremen,1
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2018,E,Bremen,0
OPEL,Ampera-e,AGT,2018,E,Bremen,1
OPEL,Ampera-e,BLA,2018,E,Bremen,0
PEUGEOT (F),iOn,AOG,2018,E,Bremen,1
RENAULT (F),ZOE,AZX,2018,E,Bremen,36
RENAULT (F),ZOE,BIA,2018,E,Bremen,5
TESLA (USA),Model S,AAJ,2018,E,Bremen,0
TESLA (USA),Model S,AAK,2018,E,Bremen,9
TESLA (USA),Model S,AAL,2018,E,Bremen,0
TESLA (USA),Model X,AAM,2018,E,Bremen,0
TESLA (USA),Model X,AAO,2018,E,Bremen,1
TESLA (USA),Model X,AAP,2018,E,Bremen,0
VOLKSWAGEN (D),GOLF,BMS,2018,E,Bremen,0
VOLKSWAGEN (D),GOLF,CBP,2018,E,Bremen,24
VOLKSWAGEN (D),UP!,BKY,2018,E,Bremen,12
BMW,"i3s,i3",BSI,2018,E,Hamburg,153
CITROEN (F),"C-ZERO,C-Zero",AJT,2018,E,Hamburg,2
DAIMLER (D),forfour ed,GON,2018,E,Hamburg,9
DAIMLER (D),fortwo cabrio ed,GOP,2018,E,Hamburg,28
DAIMLER (D),fortwo coupe ed,HHE,2018,E,Hamburg,50
DAIMLER (D),B 250 e,EWE,2018,E,Hamburg,0
DAIMLER (D),EQ forfour,HSE,2018,E,Hamburg,37
DAIMLER (D),EQ fortwo cabrio,HSG,2018,E,Hamburg,30
DAIMLER (D),EQ fortwo coupe,HSF,2018,E,Hamburg,249
FORD (D),Focus Electric,BFW,2018,E,Hamburg,0
HYUNDAI MOTOR (ROK),IONIQ,AHL,2018,E,Hamburg,25
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2018,E,Hamburg,5
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2018,E,Hamburg,2
KIA MOTOR (ROK),NIRO,AIB,2018,E,Hamburg,0
KIA MOTOR (ROK),SOUL,AGJ,2018,E,Hamburg,7
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2018,E,Hamburg,0
NISSAN (CH),Nissan Leaf 40kWh,ALE,2018,E,Hamburg,81
NISSAN (CH),NISSAN e-NV200,AIA,2018,E,Hamburg,5
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2018,E,Hamburg,0
OPEL,Ampera-e,AGT,2018,E,Hamburg,12
OPEL,Ampera-e,BLA,2018,E,Hamburg,1
PEUGEOT (F),iOn,AOG,2018,E,Hamburg,1
RENAULT (F),ZOE,AZX,2018,E,Hamburg,97
RENAULT (F),ZOE,BIA,2018,E,Hamburg,31
TESLA (USA),Model S,AAJ,2018,E,Hamburg,1
TESLA (USA),Model S,AAK,2018,E,Hamburg,38
TESLA (USA),Model S,AAL,2018,E,Hamburg,1
TESLA (USA),Model X,AAM,2018,E,Hamburg,0
TESLA (USA),Model X,AAO,2018,E,Hamburg,13
TESLA (USA),Model X,AAP,2018,E,Hamburg,2
VOLKSWAGEN (D),GOLF,BMS,2018,E,Hamburg,0
VOLKSWAGEN (D),GOLF,CBP,2018,E,Hamburg,213
VOLKSWAGEN (D),UP!,BKY,2018,E,Hamburg,33
BMW,"i3s,i3",BSI,2018,E,Hessen,203
CITROEN (F),"C-ZERO,C-Zero",AJT,2018,E,Hessen,8
DAIMLER (D),forfour ed,GON,2018,E,Hessen,59
DAIMLER (D),fortwo cabrio ed,GOP,2018,E,Hessen,63
DAIMLER (D),fortwo coupe ed,HHE,2018,E,Hessen,104
DAIMLER (D),B 250 e,EWE,2018,E,Hessen,0
