manufacturer,model,tsn,fuel_type,new_registration_per_model,private_owners,owners_under_29_years,owners_over_60_years,female_owners,business_owners,owners_between_29_and_60_years,male_owners,year
AUDI (D),e-tron 55,BSL,E,13,3,0,1,0,10,12,13,2019
AUDI (D),Audi e-tron,BPG,E,3352,434,11,123,75,2918,3218,3277,2019
BMW,"i3,i3s",BSI,E,9103,3349,76,932,892,5754,8095,8211,2019
BMW,Cooper SE,CYC,E,400,0,0,0,0,400,400,400,2019
CITROEN (F),"C-ZERO,C-Zero",AJT,E,141,26,0,7,9,115,134,132,2019
DAIMLER (D),eVito Tourer,IAT,E,45,0,0,0,0,45,45,45,2019
DAIMLER (D),eVito Tourer,IAU,E,47,1,0,0,1,46,47,46,2019
DAIMLER (D),forfour ed,GON,E,10,6,0,3,5,4,7,5,2019
DAIMLER (D),fortwo coupe ed,HHE,E,40,6,0,1,3,34,39,37,2019
DAIMLER (D),EQ forfour,HSE,E,2306,1007,17,228,331,1299,2061,1975,2019
DAIMLER (D),EQ fortwo cabrio,HSG,E,1403,666,7,225,257,737,1171,1146,2019
DAIMLER (D),EQ fortwo coupe,HSF,E,3726,1414,56,505,478,2312,3165,3248,2019
DAIMLER (D),EQC 400 4MATIC,AKA,E,70,9,1,4,2,61,65,68,2019
DAIMLER (D),EQC 400 4MATIC,HXW,E,327,46,1,19,14,281,307,313,2019
HYUNDAI MOTOR (ROK),IONIQ,AHL,E,1526,456,17,100,112,1070,1409,1414,2019
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,E,3156,1430,25,508,410,1726,2623,2746,2019
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,E,363,135,6,44,50,228,313,313,2019
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,E,950,207,3,79,32,743,868,918,2019
KIA MOTOR (ROK),NIRO,AIB,E,447,95,3,33,22,352,411,425,2019
KIA MOTOR (ROK),SOUL,AGJ,E,481,15,0,4,4,466,477,477,2019
KIA MOTOR (ROK),SOUL,AIH,E,1108,188,5,66,68,920,1037,1040,2019
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,E,2609,929,33,295,253,1680,2281,2356,2019
NISSAN (CH),NISSAN e-NV200,AIA,E,617,55,0,16,8,562,601,609,2019
OPEL,Ampera-e,AGT,E,120,35,1,12,6,85,107,114,2019
PEUGEOT (F),iOn,AOG,E,174,33,0,15,10,141,159,164,2019
RENAULT (F),ZOE,AZX,E,3187,1565,44,371,506,1622,2772,2681,2019
RENAULT (F),ZOE,BIA,E,5031,2605,93,678,879,2426,4260,4152,2019
RENAULT (F),ZOE,BMT,E,1211,466,22,140,241,745,1049,970,2019
TESLA (USA),Model S,AAK,E,473,164,4,41,23,309,428,450,2019
TESLA (USA),Model S,AAL,E,225,72,3,19,9,153,203,216,2019
TESLA (USA),Model S,AAT,E,192,60,1,13,3,132,178,189,2019
TESLA (USA),Model S,AAV,E,90,41,0,10,6,49,80,84,2019
TESLA (USA),Model X,AAO,E,263,86,2,24,19,177,237,244,2019
TESLA (USA),Model X,AAP,E,183,71,1,17,14,112,165,169,2019
TESLA (USA),Model X,AAU,E,186,41,0,11,6,145,175,180,2019
TESLA (USA),Model X,AAW,E,82,35,1,8,4,47,73,78,2019
TESLA (USA),Model 3,AAQ,E,1194,927,87,128,127,267,979,1067,2019
TESLA (USA),Model 3,AAR,E,5647,3525,192,612,536,2122,4843,5111,2019
TESLA (USA),Model 3,AAS,E,2168,1103,79,143,126,1065,1946,2042,2019
VOLKSWAGEN (D),CRAFTER,CGD,E,94,0,0,0,0,94,94,94,2019
VOLKSWAGEN (D),GOLF,CBP,E,6865,1183,39,256,286,5682,6570,6579,2019
VOLKSWAGEN (D),UP!,BKY,E,344,84,3,34,30,260,307,314,2019
VOLKSWAGEN (D),UP!,CKJ,E,83,8,0,3,1,75,80,82,2019
