manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
TESLA (USA),Model X,AAU,2019,E,Bayern,68
TESLA (USA),Model X,AAW,2019,E,Bayern,11
TESLA (USA),Model 3,AAQ,2019,E,Bayern,238
TESLA (USA),Model 3,AAR,2019,E,Bayern,1329
TESLA (USA),Model 3,AAS,2019,E,Bayern,543
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Bayern,0
VOLKSWAGEN (D),GOLF,CBP,2019,E,Bayern,679
VOLKSWAGEN (D),UP!,BKY,2019,E,Bayern,31
VOLKSWAGEN (D),UP!,CKJ,2019,E,Bayern,2
AUDI (D),e-tron 55,BSL,2019,E,Berlin,1
AUDI (D),Audi e-tron,BPG,2019,E,Berlin,86
BMW,"i3,i3s",BSI,2019,E,Berlin,330
BMW,Cooper SE,CYC,2019,E,Berlin,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Berlin,3
DAIMLER (D),eVito Tourer,IAT,2019,E,Berlin,40
DAIMLER (D),eVito Tourer,IAU,2019,E,Berlin,2
DAIMLER (D),forfour ed,GON,2019,E,Berlin,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Berlin,3
DAIMLER (D),EQ forfour,HSE,2019,E,Berlin,131
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Berlin,103
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Berlin,332
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Berlin,2
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Berlin,25
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Berlin,121
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Berlin,60
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Berlin,5
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Berlin,23
KIA MOTOR (ROK),NIRO,AIB,2019,E,Berlin,4
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Berlin,1
KIA MOTOR (ROK),SOUL,AIH,2019,E,Berlin,12
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Berlin,295
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Berlin,239
OPEL,Ampera-e,AGT,2019,E,Berlin,3
PEUGEOT (F),iOn,AOG,2019,E,Berlin,2
RENAULT (F),ZOE,AZX,2019,E,Berlin,32
RENAULT (F),ZOE,BIA,2019,E,Berlin,138
RENAULT (F),ZOE,BMT,2019,E,Berlin,13
TESLA (USA),Model S,AAK,2019,E,Berlin,18
TESLA (USA),Model S,AAL,2019,E,Berlin,10
TESLA (USA),Model S,AAT,2019,E,Berlin,8
TESLA (USA),Model S,AAV,2019,E,Berlin,0
TESLA (USA),Model X,AAO,2019,E,Berlin,8
TESLA (USA),Model X,AAP,2019,E,Berlin,9
TESLA (USA),Model X,AAU,2019,E,Berlin,9
TESLA (USA),Model X,AAW,2019,E,Berlin,9
TESLA (USA),Model 3,AAQ,2019,E,Berlin,40
TESLA (USA),Model 3,AAR,2019,E,Berlin,197
TESLA (USA),Model 3,AAS,2019,E,Berlin,87
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Berlin,0
VOLKSWAGEN (D),GOLF,CBP,2019,E,Berlin,146
VOLKSWAGEN (D),UP!,BKY,2019,E,Berlin,16
VOLKSWAGEN (D),UP!,CKJ,2019,E,Berlin,1
AUDI (D),e-tron 55,BSL,2019,E,Brandenburg,1
AUDI (D),Audi e-tron,BPG,2019,E,Brandenburg,39
BMW,"i3,i3s",BSI,2019,E,Brandenburg,58
BMW,Cooper SE,CYC,2019,E,Brandenburg,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Brandenburg,3
DAIMLER (D),eVito Tourer,IAT,2019,E,Brandenburg,0
DAIMLER (D),eVito Tourer,IAU,2019,E,Brandenburg,0
DAIMLER (D),forfour ed,GON,2019,E,Brandenburg,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Brandenburg,1
DAIMLER (D),EQ forfour,HSE,2019,E,Brandenburg,47
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Brandenburg,14
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Brandenburg,68
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Brandenburg,0
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Brandenburg,6
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Brandenburg,40
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Brandenburg,59
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Brandenburg,8
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Brandenburg,6
KIA MOTOR (ROK),NIRO,AIB,2019,E,Brandenburg,12
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Brandenburg,0
KIA MOTOR (ROK),SOUL,AIH,2019,E,Brandenburg,19
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Brandenburg,54
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Brandenburg,11
OPEL,Ampera-e,AGT,2019,E,Brandenburg,1
PEUGEOT (F),iOn,AOG,2019,E,Brandenburg,0
RENAULT (F),ZOE,AZX,2019,E,Brandenburg,49
RENAULT (F),ZOE,BIA,2019,E,Brandenburg,80
RENAULT (F),ZOE,BMT,2019,E,Brandenburg,20
TESLA (USA),Model S,AAK,2019,E,Brandenburg,4
TESLA (USA),Model S,AAL,2019,E,Brandenburg,9
TESLA (USA),Model S,AAT,2019,E,Brandenburg,8
TESLA (USA),Model S,AAV,2019,E,Brandenburg,1
TESLA (USA),Model X,AAO,2019,E,Brandenburg,6
TESLA (USA),Model X,AAP,2019,E,Brandenburg,7
TESLA (USA),Model X,AAU,2019,E,Brandenburg,2
TESLA (USA),Model X,AAW,2019,E,Brandenburg,3
TESLA (USA),Model 3,AAQ,2019,E,Brandenburg,29
TESLA (USA),Model 3,AAR,2019,E,Brandenburg,100
