manufacturer,model,tsn,fuel_type,new_registration_per_model,private_owners,owners_under_29_years,owners_over_60_years,female_owners,business_owners,owners_between_29_and_60_years,male_owners,year
BMW,"i3s,i3",BSI,E,2788,1120,14,304,311,1668,2470,2477,2017
CITROEN (F),"C-ZERO,C-Zero",AJT,E,176,118,1,41,29,58,134,147,2017
DAIMLER (D),forfour ed,GON,E,751,383,14,91,119,368,646,632,2017
DAIMLER (D),fortwo cabrio ed,GOP,E,735,395,8,146,142,340,581,593,2017
DAIMLER (D),fortwo coupe ed,HHE,E,2203,1089,46,428,304,1114,1729,1899,2017
DAIMLER (D),B 250 e,EWE,E,541,82,3,35,16,459,503,525,2017
FORD (D),Focus Electric,BFW,E,26,0,0,0,0,26,26,26,2017
HYUNDAI MOTOR (ROK),IONIQ,AHL,E,881,451,23,87,97,430,771,784,2017
KIA MOTOR (ROK),SOUL,AFP,E,608,49,0,11,15,559,597,593,2017
KIA MOTOR (ROK),SOUL,AGJ,E,2325,135,2,54,36,2190,2269,2289,2017
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,E,35,12,0,2,5,23,33,30,2017
NISSAN (CH),NISSAN e-NV200,AIA,E,183,22,0,5,11,161,178,172,2017
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,E,842,169,1,63,54,673,778,788,2017
OPEL,Ampera-e,AGT,E,60,17,1,11,4,43,48,56,2017
OPEL,Ampera-e,BLA,E,112,22,0,9,3,90,103,109,2017
PEUGEOT (F),iOn,AOG,E,269,169,3,59,49,100,207,220,2017
RENAULT (F),ZOE,AZX,E,4323,2091,35,611,641,2232,3677,3682,2017
TESLA (USA),Model S,AAJ,E,444,236,9,49,32,208,386,412,2017
TESLA (USA),Model S,AAK,E,1604,639,18,155,87,965,1431,1517,2017
TESLA (USA),Model S,AAL,E,186,55,3,17,3,131,166,183,2017
TESLA (USA),Model X,AAM,E,797,282,3,71,53,515,723,744,2017
TESLA (USA),Model X,AAN,E,158,40,0,7,9,118,151,149,2017
TESLA (USA),Model X,AAO,E,125,41,1,8,4,84,116,121,2017
TESLA (USA),Model X,AAP,E,11,2,0,1,0,9,10,11,2017
VOLKSWAGEN (D),GOLF,BMS,E,257,86,5,21,21,171,231,236,2017
VOLKSWAGEN (D),GOLF,CBP,E,2721,930,22,233,196,1791,2466,2525,2017
VOLKSWAGEN (D),UP!,BKY,E,1076,212,3,93,71,864,980,1005,2017
