manufacturer,model,tsn,fuel_type,new_registration_per_model,private_owners,owners_under_29_years,owners_over_60_years,female_owners,business_owners,owners_between_29_and_60_years,male_owners,year
BMW,"i3s,i3",BSI,E,3784,1270,35,306,346,2514,3443,3438,2018
CITROEN (F),"C-ZERO,C-Zero",AJT,E,102,39,1,17,11,63,84,91,2018
DAIMLER (D),forfour ed,GON,E,1077,697,23,168,218,380,886,859,2018
DAIMLER (D),fortwo cabrio ed,GOP,E,637,398,6,134,121,239,497,516,2018
DAIMLER (D),fortwo coupe ed,HHE,E,1331,717,18,275,234,614,1038,1097,2018
DAIMLER (D),B 250 e,EWE,E,80,0,0,0,0,80,80,80,2018
DAIMLER (D),EQ forfour,HSE,E,1456,866,28,173,262,590,1255,1194,2018
DAIMLER (D),EQ fortwo cabrio,HSG,E,531,307,6,97,104,224,428,427,2018
DAIMLER (D),EQ fortwo coupe,HSF,E,1667,557,20,204,181,1110,1443,1486,2018
FORD (D),Focus Electric,BFW,E,17,2,0,0,0,15,17,17,2018
HYUNDAI MOTOR (ROK),IONIQ,AHL,E,1694,832,49,148,183,862,1497,1511,2018
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,E,371,92,2,25,25,279,344,346,2018
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,E,191,17,0,10,2,174,181,189,2018
KIA MOTOR (ROK),NIRO,AIB,E,18,0,0,0,0,18,18,18,2018
KIA MOTOR (ROK),SOUL,AGJ,E,3289,178,1,51,51,3111,3237,3238,2018
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,E,19,3,0,2,1,16,17,18,2018
NISSAN (CH),Nissan Leaf 40kWh,ALE,E,2353,1128,29,337,267,1225,1987,2086,2018
NISSAN (CH),NISSAN e-NV200,AIA,E,150,31,0,9,6,119,141,144,2018
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,E,27,1,0,0,1,26,27,26,2018
OPEL,Ampera-e,AGT,E,361,111,1,36,19,250,324,342,2018
OPEL,Ampera-e,BLA,E,23,6,0,1,1,17,22,22,2018
PEUGEOT (F),iOn,AOG,E,147,38,2,17,13,109,128,134,2018
RENAULT (F),ZOE,AZX,E,4775,2005,60,665,669,2770,4050,4106,2018
RENAULT (F),ZOE,BIA,E,1586,845,23,230,284,741,1333,1302,2018
TESLA (USA),Model S,AAJ,E,36,22,0,8,3,14,28,33,2018
TESLA (USA),Model S,AAK,E,1100,459,11,123,55,641,966,1045,2018
TESLA (USA),Model S,AAL,E,111,21,0,5,3,90,106,108,2018
TESLA (USA),Model X,AAM,E,10,3,0,1,1,7,9,9,2018
TESLA (USA),Model X,AAO,E,557,217,5,51,46,340,501,511,2018
TESLA (USA),Model X,AAP,E,84,13,0,1,1,71,83,83,2018
VOLKSWAGEN (D),GOLF,BMS,E,12,1,0,0,1,11,12,11,2018
VOLKSWAGEN (D),GOLF,CBP,E,5710,2698,77,606,681,3012,5027,5029,2018
VOLKSWAGEN (D),UP!,BKY,E,1011,257,5,112,74,754,894,937,2018
