manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
AUDI (D),e-tron GT,BZL,2021,E,Baden-Württemberg,110
AUDI (D),e-tron S,BVM,2021,E,Baden-Württemberg,67
AUDI (D),e-tron S Sportback,BVN,2021,E,Baden-Württemberg,61
AUDI (D),e-tron Sportback 50,BSM,2021,E,Baden-Württemberg,169
AUDI (D),e-tron Sportback 55,BSN,2021,E,Baden-Württemberg,248
AUDI (D),e-tron 50,BSK,2021,E,Baden-Württemberg,383
AUDI (D),e-tron 55,BSL,2021,E,Baden-Württemberg,318
AUDI (D),Audi e-tron,BPG,2021,E,Baden-Württemberg,1
AUDI (D),Q4 Sportback 35 e-tron,BZS,2021,E,Baden-Württemberg,24
AUDI (D),Q4 Sportback 40 e-tron,BZT,2021,E,Baden-Württemberg,40
AUDI (D),Q4 Sportback 50 e-tron,BZU,2021,E,Baden-Württemberg,68
AUDI (D),Q4 35 e-tron,BZJ,2021,E,Baden-Württemberg,126
AUDI (D),Q4 40 e-tron,BZK,2021,E,Baden-Württemberg,194
AUDI (D),Q4 50 e-tron,BZV,2021,E,Baden-Württemberg,114
AUDI (D),RS e-tron GT,BZM,2021,E,Baden-Württemberg,142
BMW,iX xDrive40,DGW,2021,E,Baden-Württemberg,54
BMW,iX xDrive50,DGV,2021,E,Baden-Württemberg,15
BMW,iX3,DAQ,2021,E,Baden-Württemberg,379
BMW,"i3s,i3",BSI,2021,E,Baden-Württemberg,1765
BMW,i4 eDrive40,DGZ,2021,E,Baden-Württemberg,7
BMW,i4 M50,DHA,2021,E,Baden-Württemberg,3
BMW,Cooper SE,CYC,2021,E,Baden-Württemberg,1603
CITROEN (F),"JUMPY, SPACETOURER,JUMPY",BBW,2021,E,Baden-Württemberg,50
DACIA (RO),SPRING,AFG,2021,E,Baden-Württemberg,464
DAIMLER (D),eVito Tourer,AAI,2021,E,Baden-Württemberg,2
DAIMLER (D),eVito Tourer,AAJ,2021,E,Baden-Württemberg,39
DAIMLER (D),EQ forfour,ADK,2021,E,Baden-Württemberg,2584
DAIMLER (D),EQ fortwo cabrio,ADM,2021,E,Baden-Württemberg,1528
DAIMLER (D),EQ fortwo coupe,ADL,2021,E,Baden-Württemberg,3397
DAIMLER (D),EQA 250,BBR,2021,E,Baden-Württemberg,1447
DAIMLER (D),EQA 300 4MATIC,AXX,2021,E,Baden-Württemberg,49
DAIMLER (D),EQA 350 4MATIC,AXW,2021,E,Baden-Württemberg,25
DAIMLER (D),EQB 300 4MATIC,BDI,2021,E,Baden-Württemberg,24
DAIMLER (D),EQB 350 4MATIC,BDH,2021,E,Baden-Württemberg,20
DAIMLER (D),EQC 400 4MATIC,AKA,2021,E,Baden-Württemberg,997
DAIMLER (D),"EQS 450 4MATIC,EQS 580 4M",AXY,2021,E,Baden-Württemberg,76
DAIMLER (D),"EQS 450+,EQS 350",AXZ,2021,E,Baden-Württemberg,16
DAIMLER (D),EQV,ASK,2021,E,Baden-Württemberg,252
DAIMLER (D),EQV,ASL,2021,E,Baden-Württemberg,11
FCA (I),500,AVN,2021,E,Baden-Württemberg,1724
FORD (D),Mustang Mach-E,BUN,2021,E,Baden-Württemberg,0
FORD (D),Mustang Mach-E,BUO,2021,E,Baden-Württemberg,2
FORD (D),Mustang Mach-E,BVE,2021,E,Baden-Württemberg,166
FORD (D),Mustang Mach-E,BVF,2021,E,Baden-Württemberg,148
FORD (D),Mustang Mach-E,BVQ,2021,E,Baden-Württemberg,0
HONDA MOTOR (J),Honda e,AEW,2021,E,Baden-Württemberg,149
HYUNDAI MOTOR (CZ),"Kona, Kauai",AFH,2021,E,Baden-Württemberg,1258
HYUNDAI MOTOR (CZ),"Kona, Kauai",AFI,2021,E,Baden-Württemberg,559
HYUNDAI MOTOR (ROK),IONIQ,AHL,2021,E,Baden-Württemberg,313
HYUNDAI MOTOR (ROK),IONIQ5,AJX,2021,E,Baden-Württemberg,283
HYUNDAI MOTOR (ROK),IONIQ5,AJY,2021,E,Baden-Württemberg,11
HYUNDAI MOTOR (ROK),IONIQ5,AJZ,2021,E,Baden-Württemberg,439
HYUNDAI MOTOR (ROK),IONIQ5,AKA,2021,E,Baden-Württemberg,107
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2021,E,Baden-Württemberg,15
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2021,E,Baden-Württemberg,355
JAGUAR LAND ROVER (UK),Jaguar I-PACE,AHX,2021,E,Baden-Württemberg,97
JIANGLING (RC),U5,AAD,2021,E,Baden-Württemberg,33
KIA (ROK),EV6,AAZ,2021,E,Baden-Württemberg,17
KIA (ROK),EV6,ABA,2021,E,Baden-Württemberg,77
KIA (ROK),EV6,ABC,2021,E,Baden-Württemberg,47
KIA (ROK),NIRO,AAK,2021,E,Baden-Württemberg,77
KIA (ROK),NIRO,AAL,2021,E,Baden-Württemberg,7
KIA (ROK),NIRO,AIB,2021,E,Baden-Württemberg,533
KIA (ROK),NIRO,AIC,2021,E,Baden-Württemberg,27
KIA (ROK),SOUL,AAA,2021,E,Baden-Württemberg,32
KIA (ROK),SOUL,AAB,2021,E,Baden-Württemberg,45
KIA (ROK),SOUL,AIH,2021,E,Baden-Württemberg,247
KIA (ROK),SOUL,AII,2021,E,Baden-Württemberg,32
MAZDA (J),MAZDA MX-30,AII,2021,E,Baden-Württemberg,312
NEXT.E.GO,e.GO Life,AAA,2021,E,Baden-Württemberg,5
NISSAN (CH),"Nissan Leaf 62kWh,Nissan",ALE,2021,E,Baden-Württemberg,347
NISSAN (CH),NISSAN e-NV200,AIA,2021,E,Baden-Württemberg,13
NISSAN AUTOMOTIVE (F),"Nissan Leaf 62kWh,Nissan",AAJ,2021,E,Baden-Württemberg,400
NISSAN AUTOMOTIVE (F),NISSAN e-NV200,AAO,2021,E,Baden-Württemberg,7
OPEL,Ampera-e,AGT,2021,E,Baden-Württemberg,0
OPEL,Combo-e Life,AMK,2021,E,Baden-Württemberg,0
PEUGEOT (F),"EXPERT, Traveller,EXPERT",BBY,2021,E,Baden-Württemberg,39
PEUGEOT (F),VIVARO / ZAFIRA LIFE,BBU,2021,E,Baden-Württemberg,52
POLESTAR (S),Polestar 2,AAA,2021,E,Baden-Württemberg,63
POLESTAR (S),Polestar 2,AAB,2021,E,Baden-Württemberg,68
PORSCHE,Taycan,ANJ,2021,E,Baden-Württemberg,504
PORSCHE,"Taycan Turbo S,Taycan Tur",ANH,2021,E,Baden-Württemberg,95
PORSCHE,"Taycan Turbo,Taycan Turbo",ALY,2021,E,Baden-Württemberg,198
PORSCHE,Taycan 4S,ALZ,2021,E,Baden-Württemberg,615
PORSCHE,Taycan 4S,AMA,2021,E,Baden-Württemberg,44
PORSCHE,"Taycan 4S,Taycan 4",ANI,2021,E,Baden-Württemberg,538
PSA AUTOMOBILES (F),e-BERLINGO,AEE,2021,E,Baden-Württemberg,21
PSA AUTOMOBILES (F),e-C4,ACW,2021,E,Baden-Württemberg,204
PSA AUTOMOBILES (F),e-RIFTER,AED,2021,E,Baden-Württemberg,15
PSA AUTOMOBILES (F),CORSA,ABX,2021,E,Baden-Württemberg,1448
PSA AUTOMOBILES (F),DS3 CROSSBACK,ACG,2021,E,Baden-Württemberg,20
PSA AUTOMOBILES (F),"MOKKA,MOKKA",ADD,2021,E,Baden-Württemberg,806
PSA AUTOMOBILES (F),2008,ACM,2021,E,Baden-Württemberg,657
PSA AUTOMOBILES (F),208,ACH,2021,E,Baden-Württemberg,1358
RENAULT (F),TWINGO,BNZ,2021,E,Baden-Württemberg,1535
RENAULT (F),ZOE,BIA,2021,E,Baden-Württemberg,3
RENAULT (F),ZOE,BMT,2021,E,Baden-Württemberg,3928
SAIC (RC),MG Marvel R Electric,AAC,2021,E,Baden-Württemberg,0
SAIC (RC),MG Marvel R Electric,AAD,2021,E,Baden-Württemberg,0
SAIC (RC),"MG ZS EV,ROEWE ZS EV",AAA,2021,E,Baden-Württemberg,209
SAIC (RC),"MG ZS EV,ROEWE ZS EV",AAF,2021,E,Baden-Württemberg,5
SEAT (E),BORN,ARM,2021,E,Baden-Württemberg,35
SEAT (E),MII,APB,2021,E,Baden-Württemberg,523
SKODA (CZ),CITIGO,AUN,2021,E,Baden-Württemberg,515
SKODA (CZ),ENYAQ 50,AWQ,2021,E,Baden-Württemberg,46
SKODA (CZ),ENYAQ 60,AWR,2021,E,Baden-Württemberg,472
SKODA (CZ),ENYAQ 80,AWS,2021,E,Baden-Württemberg,1076
SKODA (CZ),ENYAQ 80X,AWT,2021,E,Baden-Württemberg,36
TESLA (USA),Model X,AAU,2021,E,Baden-Württemberg,1
TESLA (USA),Model X,AAY,2021,E,Baden-Württemberg,2
TESLA (USA),Model Y,ABD,2021,E,Baden-Württemberg,490
TESLA (USA),Model 3,AAQ,2021,E,Baden-Württemberg,1427
TESLA (USA),Model 3,AAR,2021,E,Baden-Württemberg,1870
TESLA (USA),Model 3,AAS,2021,E,Baden-Württemberg,806
TESLA (USA),Model 3,AAZ,2021,E,Baden-Württemberg,283
TOYOTA EUROPE (B),LEXUS UX300E,APE,2021,E,Baden-Württemberg,4
TOYOTA EUROPE (B),Proace,APK,2021,E,Baden-Württemberg,9
VOLKSWAGEN (D),ABT e-Caddy,CMD,2021,E,Baden-Württemberg,0
VOLKSWAGEN (D),ABT e-Caravelle 6.1,COA,2021,E,Baden-Württemberg,1
VOLKSWAGEN (D),GOLF,CBP,2021,E,Baden-Württemberg,664
VOLKSWAGEN (D),ID.3 PRO S 150 KW,CKW,2021,E,Baden-Württemberg,551
VOLKSWAGEN (D),ID.3 PRO 107 KW,CKU,2021,E,Baden-Württemberg,769
VOLKSWAGEN (D),ID.3 PRO 150 KW,CKV,2021,E,Baden-Württemberg,2081
VOLKSWAGEN (D),ID.3 PURE 110 KW,CKT,2021,E,Baden-Württemberg,943
VOLKSWAGEN (D),ID.4 GTX 220 KW,CLR,2021,E,Baden-Württemberg,61
VOLKSWAGEN (D),ID.4 PRO 150 KW,CLQ,2021,E,Baden-Württemberg,1339
VOLKSWAGEN (D),ID.4 PURE 109 KW,CLN,2021,E,Baden-Württemberg,165
VOLKSWAGEN (D),ID.4 PURE 125 KW,CLO,2021,E,Baden-Württemberg,121
VOLKSWAGEN (D),UP!,CKJ,2021,E,Baden-Württemberg,5864
VOLVO (S),Polestar 2,BRO,2021,E,Baden-Württemberg,214
VOLVO (S),XC40,BUN,2021,E,Baden-Württemberg,0
VOLVO (S),"XC40,C40",BTE,2021,E,Baden-Württemberg,92
AUDI (D),e-tron GT,BZL,2021,E,Bayern,211
AUDI (D),e-tron S,BVM,2021,E,Bayern,239
AUDI (D),e-tron S Sportback,BVN,2021,E,Bayern,114
AUDI (D),e-tron Sportback 50,BSM,2021,E,Bayern,273
AUDI (D),e-tron Sportback 55,BSN,2021,E,Bayern,937
AUDI (D),e-tron 50,BSK,2021,E,Bayern,476
AUDI (D),e-tron 55,BSL,2021,E,Bayern,915
AUDI (D),Audi e-tron,BPG,2021,E,Bayern,2
AUDI (D),Q4 Sportback 35 e-tron,BZS,2021,E,Bayern,37
AUDI (D),Q4 Sportback 40 e-tron,BZT,2021,E,Bayern,71
AUDI (D),Q4 Sportback 50 e-tron,BZU,2021,E,Bayern,190
AUDI (D),Q4 35 e-tron,BZJ,2021,E,Bayern,192
AUDI (D),Q4 40 e-tron,BZK,2021,E,Bayern,512
AUDI (D),Q4 50 e-tron,BZV,2021,E,Bayern,254
AUDI (D),RS e-tron GT,BZM,2021,E,Bayern,263
BMW,iX xDrive40,DGW,2021,E,Bayern,500
BMW,iX xDrive50,DGV,2021,E,Bayern,200
BMW,iX3,DAQ,2021,E,Bayern,955
BMW,"i3s,i3",BSI,2021,E,Bayern,4425
BMW,i4 eDrive40,DGZ,2021,E,Bayern,77
BMW,i4 M50,DHA,2021,E,Bayern,93
BMW,Cooper SE,CYC,2021,E,Bayern,2650
CITROEN (F),"JUMPY, SPACETOURER,JUMPY",BBW,2021,E,Bayern,64
DACIA (RO),SPRING,AFG,2021,E,Bayern,977
DAIMLER (D),eVito Tourer,AAI,2021,E,Bayern,1
DAIMLER (D),eVito Tourer,AAJ,2021,E,Bayern,53
DAIMLER (D),EQ forfour,ADK,2021,E,Bayern,988
DAIMLER (D),EQ fortwo cabrio,ADM,2021,E,Bayern,811
DAIMLER (D),EQ fortwo coupe,ADL,2021,E,Bayern,1444
DAIMLER (D),EQA 250,BBR,2021,E,Bayern,693
DAIMLER (D),EQA 300 4MATIC,AXX,2021,E,Bayern,22
DAIMLER (D),EQA 350 4MATIC,AXW,2021,E,Bayern,20
DAIMLER (D),EQB 300 4MATIC,BDI,2021,E,Bayern,18
DAIMLER (D),EQB 350 4MATIC,BDH,2021,E,Bayern,5
DAIMLER (D),EQC 400 4MATIC,AKA,2021,E,Bayern,424
DAIMLER (D),"EQS 450 4MATIC,EQS 580 4M",AXY,2021,E,Bayern,55
DAIMLER (D),"EQS 450+,EQS 350",AXZ,2021,E,Bayern,8
DAIMLER (D),EQV,ASK,2021,E,Bayern,134
DAIMLER (D),EQV,ASL,2021,E,Bayern,11
FCA (I),500,AVN,2021,E,Bayern,1948
FORD (D),Mustang Mach-E,BUN,2021,E,Bayern,4
FORD (D),Mustang Mach-E,BUO,2021,E,Bayern,3
FORD (D),Mustang Mach-E,BVE,2021,E,Bayern,209
FORD (D),Mustang Mach-E,BVF,2021,E,Bayern,214
FORD (D),Mustang Mach-E,BVQ,2021,E,Bayern,6
HONDA MOTOR (J),Honda e,AEW,2021,E,Bayern,152
HYUNDAI MOTOR (CZ),"Kona, Kauai",AFH,2021,E,Bayern,1967
HYUNDAI MOTOR (CZ),"Kona, Kauai",AFI,2021,E,Bayern,736
HYUNDAI MOTOR (ROK),IONIQ,AHL,2021,E,Bayern,391
HYUNDAI MOTOR (ROK),IONIQ5,AJX,2021,E,Bayern,540
HYUNDAI MOTOR (ROK),IONIQ5,AJY,2021,E,Bayern,22
HYUNDAI MOTOR (ROK),IONIQ5,AJZ,2021,E,Bayern,614
HYUNDAI MOTOR (ROK),IONIQ5,AKA,2021,E,Bayern,180
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2021,E,Bayern,33
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2021,E,Bayern,680
JAGUAR LAND ROVER (UK),Jaguar I-PACE,AHX,2021,E,Bayern,81
