manufacturer,model,tsn,fuel_type,new_registration_per_model,private_owners,owners_under_29_years,owners_over_60_years,female_owners,business_owners,owners_between_29_and_60_years,male_owners,year
AUDI (D),e-tron S,BVM,E,36,3,0,1,0,33,35,36,2020
AUDI (D),e-tron S Sportback,BVN,E,104,5,0,0,0,99,104,104,2020
AUDI (D),e-tron Sportback 50,BSM,E,792,91,9,20,21,701,763,771,2020
AUDI (D),e-tron Sportback 55,BSN,E,1510,180,7,53,29,1330,1450,1481,2020
AUDI (D),e-tron 50,BSK,E,2170,338,19,80,75,1832,2071,2095,2020
AUDI (D),e-tron 55,BSL,E,2734,256,3,48,44,2478,2683,2690,2020
AUDI (D),Audi e-tron,BPG,E,681,62,1,16,8,619,664,673,2020
BMW,iX3,DAQ,E,42,0,0,0,0,42,42,42,2020
BMW,"i3s,i3",BSI,E,8614,4184,134,1247,1219,4430,7233,7395,2020
BMW,Cooper SE,CYC,E,4362,2920,106,580,1153,1442,3676,3209,2020
CITROEN (F),"C-ZERO,C-Zero",AJT,E,127,34,0,17,11,93,110,116,2020
CITROEN (F),JUMPY SPACETOURER,BBW,E,75,2,0,3,0,73,72,75,2020
DAIMLER (D),eVito Tourer,AAI,E,111,1,0,0,0,110,111,111,2020
DAIMLER (D),eVito Tourer,AAJ,E,160,9,0,3,1,151,157,159,2020
DAIMLER (D),eVito Tourer,IAU,E,45,0,0,0,0,45,45,45,2020
DAIMLER (D),EQ forfour,ADK,E,4473,2292,95,539,637,2181,3839,3836,2020
DAIMLER (D),EQ fortwo cabrio,ADM,E,3822,1724,76,654,602,2098,3092,3220,2020
DAIMLER (D),EQ fortwo coupe,ADL,E,7579,3338,288,1209,992,4241,6082,6587,2020
DAIMLER (D),EQ fortwo coupe,HSF,E,112,2,1,0,0,110,111,112,2020
DAIMLER (D),EQA 250,BBR,E,43,0,0,0,0,43,43,43,2020
DAIMLER (D),EQC 400 4MATIC,AKA,E,3019,1011,82,314,158,2008,2623,2861,2020
DAIMLER (D),EQC 400 4MATIC,HXW,E,80,12,4,4,1,68,72,79,2020
DAIMLER (D),EQV,ASK,E,829,46,0,6,12,783,823,817,2020
DAIMLER (D),EQV,ASL,E,83,4,0,1,4,79,82,79,2020
E.GO,e.GO Life First Edition,AAB,E,477,326,4,159,88,151,314,389,2020
FCA (I),500,AVN,E,872,433,9,118,212,439,745,660,2020
FORD (D),Mustang Mach-E,BUN,E,119,0,0,0,0,119,119,119,2020
FORD (D),Mustang Mach-E,BUO,E,65,0,0,0,0,65,65,65,2020
HONDA MOTOR (J),Honda e,AEW,E,1128,625,34,142,205,503,952,923,2020
HYUNDAI MOTOR (CZ),"Kona, Kauai",AFH,E,7684,3904,132,1397,1265,3780,6155,6419,2020
HYUNDAI MOTOR (ROK),IONIQ,AHL,E,1914,840,43,151,207,1074,1720,1707,2020
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,E,2409,795,23,290,232,1614,2096,2177,2020
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,E,3911,2787,129,578,890,1124,3204,3021,2020
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,E,1341,479,9,114,85,862,1218,1256,2020
JIANGLING (RC),U5,AAD,E,174,113,6,25,17,61,143,157,2020
KIA MOTOR (ROK),NIRO,AIB,E,3474,2175,61,642,558,1299,2771,2916,2020
KIA MOTOR (ROK),NIRO,AIC,E,69,36,3,9,20,33,57,49,2020
KIA MOTOR (ROK),SOUL,AIH,E,2267,927,9,367,276,1340,1891,1991,2020
KIA MOTOR (ROK),SOUL,AII,E,96,49,0,21,18,47,75,78,2020
MAZDA (J),MAZDA MX-30,AII,E,3751,2162,56,543,717,1589,3152,3034,2020
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,E,3597,1503,63,454,433,2094,3080,3164,2020
NISSAN (CH),NISSAN e-NV200,AIA,E,445,54,1,19,17,391,425,428,2020
OPEL,Ampera-e,AGT,E,678,285,7,90,78,393,581,600,2020
PEUGEOT (F),iOn,AOG,E,170,93,0,36,37,77,134,133,2020
PEUGEOT (F),EXPERT Traveller,BBY,E,10,0,0,0,0,10,10,10,2020
PEUGEOT (F),VIVARO / ZAFIRA LIFE,BBU,E,241,1,0,1,0,240,240,241,2020
PORSCHE,"Taycan Turbo,Taycan Turbo",ALY,E,1135,263,3,83,33,872,1049,1102,2020
PORSCHE,Taycan 4S,ALZ,E,1550,315,9,105,69,1235,1436,1481,2020
PORSCHE,Taycan 4S,AMA,E,222,64,2,24,19,158,196,203,2020
PSA AUTOMOBILES (F),e-C4,ACW,E,19,2,0,0,1,17,19,18,2020
PSA AUTOMOBILES (F),CORSA,ABX,E,6003,3539,182,923,1330,2464,4898,4673,2020
PSA AUTOMOBILES (F),DS3 CROSSBACK,ACG,E,214,48,4,19,20,166,191,194,2020
PSA AUTOMOBILES (F),2008,ACM,E,1199,581,18,162,203,618,1019,996,2020
PSA AUTOMOBILES (F),208,ACH,E,2628,1815,134,386,638,813,2108,1990,2020
RENAULT (F),TWINGO,BNZ,E,1101,453,4,194,265,648,903,836,2020
RENAULT (F),ZOE,AZX,E,125,25,1,6,10,100,118,115,2020
RENAULT (F),ZOE,BIA,E,444,107,6,40,42,337,398,402,2020
RENAULT (F),ZOE,BMT,E,29807,17291,746,5218,6631,12516,23843,23176,2020
SEAT (E),MII,APB,E,2149,1145,47,297,317,1004,1805,1832,2020
SKODA (CZ),CITIGO,AUN,E,4737,3256,97,896,1057,1481,3744,3680,2020
TESLA (USA),Model S,AAL,E,19,7,0,6,1,12,13,18,2020
TESLA (USA),Model S,AAT,E,233,71,3,18,4,162,212,229,2020
TESLA (USA),Model S,AAV,E,61,33,1,6,0,28,54,61,2020
TESLA (USA),Model S,AAX,E,464,182,1,68,28,282,395,436,2020
TESLA (USA),Model X,AAP,E,15,8,1,1,1,7,13,14,2020
TESLA (USA),Model X,AAU,E,219,67,0,13,9,152,206,210,2020
TESLA (USA),Model X,AAW,E,36,9,0,6,1,27,30,35,2020
TESLA (USA),Model X,AAY,E,444,152,4,40,30,292,400,414,2020
TESLA (USA),Model 3,AAQ,E,2756,2132,202,275,460,624,2279,2296,2020
TESLA (USA),Model 3,AAR,E,8056,5005,344,997,846,3051,6715,7210,2020
TESLA (USA),Model 3,AAS,E,2470,1325,138,136,166,1145,2196,2304,2020
TESLA (USA),Model 3,AAZ,E,1920,1576,122,190,361,344,1608,1559,2020
TOYOTA EUROPE (B),LEXUS UX300E,APE,E,20,0,0,0,0,20,20,20,2020
VOLKSWAGEN (D),ABT e-Caddy,CMD,E,23,0,0,0,0,23,23,23,2020
VOLKSWAGEN (D),ABT e-Caravelle 6.1,COA,E,16,0,0,0,0,16,16,16,2020
VOLKSWAGEN (D),CRAFTER,CGD,E,128,0,0,0,0,128,128,128,2020
VOLKSWAGEN (D),GOLF,CBP,E,17429,7839,290,1838,2268,9590,15301,15161,2020
VOLKSWAGEN (D),ID.3 PRO S 150 KW,CKW,E,176,38,0,21,9,138,155,167,2020
VOLKSWAGEN (D),ID.3 PRO 150 KW,CKV,E,14080,4680,118,1512,1056,9400,12450,13024,2020
VOLKSWAGEN (D),ID.4 PRO 150 KW,CLQ,E,2329,1,0,7,1,2328,2322,2328,2020
VOLKSWAGEN (D),UP!,BKY,E,10,5,0,2,3,5,8,7,2020
VOLKSWAGEN (D),UP!,CKJ,E,10818,6656,232,1992,2050,4162,8594,8768,2020
VOLVO (S),Polestar 2,BRO,E,1015,464,11,140,58,551,864,957,2020
VOLVO (S),XC40,BTE,E,109,7,0,5,2,102,104,107,2020
