manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
BMW,"i3s,i3",BSI,2017,E,Baden-Württemberg,471
CITROEN (F),"C-ZERO,C-Zero",AJT,2017,E,Baden-Württemberg,46
DAIMLER (D),forfour ed,GON,2017,E,Baden-Württemberg,217
DAIMLER (D),fortwo cabrio ed,GOP,2017,E,Baden-Württemberg,147
DAIMLER (D),fortwo coupe ed,HHE,2017,E,Baden-Württemberg,507
DAIMLER (D),B 250 e,EWE,2017,E,Baden-Württemberg,157
FORD (D),Focus Electric,BFW,2017,E,Baden-Württemberg,2
HYUNDAI MOTOR (ROK),IONIQ,AHL,2017,E,Baden-Württemberg,102
KIA MOTOR (ROK),SOUL,AFP,2017,E,Baden-Württemberg,59
KIA MOTOR (ROK),SOUL,AGJ,2017,E,Baden-Württemberg,81
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2017,E,Baden-Württemberg,5
NISSAN (CH),NISSAN e-NV200,AIA,2017,E,Baden-Württemberg,29
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2017,E,Baden-Württemberg,86
OPEL,Ampera-e,AGT,2017,E,Baden-Württemberg,2
OPEL,Ampera-e,BLA,2017,E,Baden-Württemberg,10
PEUGEOT (F),iOn,AOG,2017,E,Baden-Württemberg,55
RENAULT (F),ZOE,AZX,2017,E,Baden-Württemberg,946
TESLA (USA),Model S,AAJ,2017,E,Baden-Württemberg,49
TESLA (USA),Model S,AAK,2017,E,Baden-Württemberg,226
TESLA (USA),Model S,AAL,2017,E,Baden-Württemberg,32
TESLA (USA),Model X,AAM,2017,E,Baden-Württemberg,93
TESLA (USA),Model X,AAN,2017,E,Baden-Württemberg,18
TESLA (USA),Model X,AAO,2017,E,Baden-Württemberg,14
TESLA (USA),Model X,AAP,2017,E,Baden-Württemberg,1
VOLKSWAGEN (D),GOLF,BMS,2017,E,Baden-Württemberg,35
VOLKSWAGEN (D),GOLF,CBP,2017,E,Baden-Württemberg,440
VOLKSWAGEN (D),UP!,BKY,2017,E,Baden-Württemberg,202
BMW,"i3s,i3",BSI,2017,E,Bayern,1024
CITROEN (F),"C-ZERO,C-Zero",AJT,2017,E,Bayern,22
DAIMLER (D),forfour ed,GON,2017,E,Bayern,126
DAIMLER (D),fortwo cabrio ed,GOP,2017,E,Bayern,145
DAIMLER (D),fortwo coupe ed,HHE,2017,E,Bayern,339
DAIMLER (D),B 250 e,EWE,2017,E,Bayern,101
FORD (D),Focus Electric,BFW,2017,E,Bayern,0
HYUNDAI MOTOR (ROK),IONIQ,AHL,2017,E,Bayern,276
KIA MOTOR (ROK),SOUL,AFP,2017,E,Bayern,21
KIA MOTOR (ROK),SOUL,AGJ,2017,E,Bayern,42
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2017,E,Bayern,12
NISSAN (CH),NISSAN e-NV200,AIA,2017,E,Bayern,39
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2017,E,Bayern,147
OPEL,Ampera-e,AGT,2017,E,Bayern,10
OPEL,Ampera-e,BLA,2017,E,Bayern,10
PEUGEOT (F),iOn,AOG,2017,E,Bayern,72
RENAULT (F),ZOE,AZX,2017,E,Bayern,1106
TESLA (USA),Model S,AAJ,2017,E,Bayern,129
TESLA (USA),Model S,AAK,2017,E,Bayern,601
TESLA (USA),Model S,AAL,2017,E,Bayern,73
TESLA (USA),Model X,AAM,2017,E,Bayern,337
TESLA (USA),Model X,AAN,2017,E,Bayern,65
TESLA (USA),Model X,AAO,2017,E,Bayern,53
TESLA (USA),Model X,AAP,2017,E,Bayern,2
VOLKSWAGEN (D),GOLF,BMS,2017,E,Bayern,41
VOLKSWAGEN (D),GOLF,CBP,2017,E,Bayern,445
VOLKSWAGEN (D),UP!,BKY,2017,E,Bayern,172
BMW,"i3s,i3",BSI,2017,E,Berlin,101
CITROEN (F),"C-ZERO,C-Zero",AJT,2017,E,Berlin,1
DAIMLER (D),forfour ed,GON,2017,E,Berlin,19
DAIMLER (D),fortwo cabrio ed,GOP,2017,E,Berlin,42
DAIMLER (D),fortwo coupe ed,HHE,2017,E,Berlin,80
DAIMLER (D),B 250 e,EWE,2017,E,Berlin,83
FORD (D),Focus Electric,BFW,2017,E,Berlin,0
HYUNDAI MOTOR (ROK),IONIQ,AHL,2017,E,Berlin,15
KIA MOTOR (ROK),SOUL,AFP,2017,E,Berlin,1
KIA MOTOR (ROK),SOUL,AGJ,2017,E,Berlin,1
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2017,E,Berlin,1
NISSAN (CH),NISSAN e-NV200,AIA,2017,E,Berlin,3
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2017,E,Berlin,80
OPEL,Ampera-e,AGT,2017,E,Berlin,3
OPEL,Ampera-e,BLA,2017,E,Berlin,0
PEUGEOT (F),iOn,AOG,2017,E,Berlin,3
RENAULT (F),ZOE,AZX,2017,E,Berlin,44
TESLA (USA),Model S,AAJ,2017,E,Berlin,17
TESLA (USA),Model S,AAK,2017,E,Berlin,34
TESLA (USA),Model S,AAL,2017,E,Berlin,8
TESLA (USA),Model X,AAM,2017,E,Berlin,38
TESLA (USA),Model X,AAN,2017,E,Berlin,10
TESLA (USA),Model X,AAO,2017,E,Berlin,6
TESLA (USA),Model X,AAP,2017,E,Berlin,0
VOLKSWAGEN (D),GOLF,BMS,2017,E,Berlin,9
VOLKSWAGEN (D),GOLF,CBP,2017,E,Berlin,40
VOLKSWAGEN (D),UP!,BKY,2017,E,Berlin,23
BMW,"i3s,i3",BSI,2017,E,Brandenburg,56
CITROEN (F),"C-ZERO,C-Zero",AJT,2017,E,Brandenburg,2
DAIMLER (D),forfour ed,GON,2017,E,Brandenburg,16
DAIMLER (D),fortwo cabrio ed,GOP,2017,E,Brandenburg,14
DAIMLER (D),fortwo coupe ed,HHE,2017,E,Brandenburg,32
DAIMLER (D),B 250 e,EWE,2017,E,Brandenburg,9
FORD (D),Focus Electric,BFW,2017,E,Brandenburg,0
HYUNDAI MOTOR (ROK),IONIQ,AHL,2017,E,Brandenburg,14
KIA MOTOR (ROK),SOUL,AFP,2017,E,Brandenburg,5
KIA MOTOR (ROK),SOUL,AGJ,2017,E,Brandenburg,7
MITSUBISHI (J),Mitsubishi i-MiEV,AEK,2017,E,Brandenburg,0
NISSAN (CH),NISSAN e-NV200,AIA,2017,E,Brandenburg,1
NISSAN (CH),"NISSAN LEAF 30kWh,NISSAN",AFV,2017,E,Brandenburg,16
OPEL,Ampera-e,AGT,2017,E,Brandenburg,3
OPEL,Ampera-e,BLA,2017,E,Brandenburg,3
PEUGEOT (F),iOn,AOG,2017,E,Brandenburg,3
RENAULT (F),ZOE,AZX,2017,E,Brandenburg,58
TESLA (USA),Model S,AAJ,2017,E,Brandenburg,11
TESLA (USA),Model S,AAK,2017,E,Brandenburg,34
TESLA (USA),Model S,AAL,2017,E,Brandenburg,1
TESLA (USA),Model X,AAM,2017,E,Brandenburg,16
TESLA (USA),Model X,AAN,2017,E,Brandenburg,4
TESLA (USA),Model X,AAO,2017,E,Brandenburg,0
TESLA (USA),Model X,AAP,2017,E,Brandenburg,0
VOLKSWAGEN (D),GOLF,BMS,2017,E,Brandenburg,4
VOLKSWAGEN (D),GOLF,CBP,2017,E,Brandenburg,45
VOLKSWAGEN (D),UP!,BKY,2017,E,Brandenburg,26
BMW,"i3s,i3",BSI,2017,E,Bremen,9
CITROEN (F),"C-ZERO,C-Zero",AJT,2017,E,Bremen,0
DAIMLER (D),forfour ed,GON,2017,E,Bremen,7
DAIMLER (D),fortwo cabrio ed,GOP,2017,E,Bremen,3
